requestID,destination,status,assignee,CreationTime,PROCTime,DONETime,language
LISR0001,FHALL00601,PROC,EMPL0001,5555555555,5555555555,0,Spanish
LISR0002,FHALL02101,PROC,EMPL0002,5555557895,5555557895,0,French
LISR0003,HRETL00202,DONE,EMPL0003,5555560235,5555560235,5555560235,Dutch
LISR0004,FHALL00601,DONE,EMPL0004,5555562575,5555562575,5555562575,German
LISR0005,WELEV00L03,PROC,EMPL0005,5555564915,5555564915,0,Mandarin
LISR0006,CDEPT003L1,PROC,EMPL0006,5555567255,5555567255,0,Cantonese
LISR0007,CHALL006L2,DONE,EMPL0007,5555569595,5555569595,5555569595,Toisanese 
LISR0008,HHALL00703,DONE,EMPL0008,5555571935,5555571935,5555571935,Arabic
LISR0009,FHALL00901,PROC,EMPL0009,5555574275,5555574275,0,Swahili
LISR0010,FSERV00201,PROC,EMPL0010,5555576615,5555576615,0,Korean
LISR0011,HBATH00102,DONE,EMPL0011,5555578955,5555578955,5555578955,Japanese
LISR0012,CDEPT002L1,PROC,EMPL0012,5555581295,5555581295,0,Vietnamese
LISR0013,CLABS002L1,PROC,EMPL0013,5555583635,5555583635,0,Hindi
LISR0014,xPATI00603,DONE,EMPL0014,5555585975,5555585975,5555585975,Russian
LISR0015,xPATI00703,PROC,EMPL0015,5555588315,5555588315,0,Ukranian
